Enemy,Damage Taken
Reptomancer,41.0
3 Byrds,41.0
Shield and Spear,40.0
Hexaghost,40.0
Shelled Parasite and Fungi,40.0
The Guardian,40.0
Gremlin Leader,40.0
3 Byrds,40.0
3 Sentries,40.0
Lagavulin,40.0
The Guardian,40.0
Jaw Worm Horde,40.0
Lagavulin,40.0
Awakened One,40.0
Gremlin Leader,40.0
Slime Boss,40.0
Snecko,40.0
Awakened One,40.0
3 Shapes,40.0
Gremlin Leader,40.0
3 Sentries,40.0
The Heart,40.0
Slime Boss,40.0
Shell Parasite,40.0
Time Eater,40.0
3 Sentries,40.0
The Heart,40.0
Automaton,40.0
3 Sentries,40.0
Book of Stabbing,40.0
3 Sentries,40.0
3 Cultists,40.0
2 Thieves,40.0
Slime Boss,40.0
3 Sentries,40.0
Cultist and Chosen,40.0
Jaw Worm Horde,40.0
3 Sentries,40.0
Hexaghost,40.0
Shell Parasite,40.0
Automaton,40.0
Maw,40.0
Sphere and 2 Shapes,40.0
Hexaghost,40.0
Gremlin Leader,40.0
Reptomancer,40.0
Reptomancer,40.0
Automaton,40.0
3 Darklings,40.0
Hexaghost,40.0
Lagavulin,40.0
Slime Boss,40.0
Cultist,40.0
3 Sentries,40.0
Maw,40.0
Collector,40.0
Automaton,40.0
Hexaghost,40.0
Reptomancer,40.0
Writhing Mass,40.0
Awakened One,40.0
3 Sentries,40.0
Gremlin Leader,40.0
Gremlin Nob,40.0
Slavers,40.0
Book of Stabbing,40.0
Lagavulin,40.0
Champ,40.0
Gremlin Nob,40.0
3 Sentries,40.0
Gremlin Leader,40.0
Gremlin Leader,40.0
3 Sentries,40.0
Time Eater,40.0
Slime Boss,40.0
Book of Stabbing,40.0
Lagavulin,40.0
Lagavulin,39.0
Lagavulin,39.0
Book of Stabbing,39.0
Automaton,39.0
Chosen and Byrds,39.0
Book of Stabbing,39.0
Gremlin Leader,39.0
Cultist and Chosen,39.0
Automaton,39.0
Hexaghost,39.0
Lagavulin,39.0
Shield and Spear,39.0
Nemesis,39.0
3 Sentries,39.0
Lagavulin,39.0
Snecko,39.0
